sample_order	pool	tag_pool	site	year	plot	treatment	specification
127	2	51_2	Halasen_p_5	2018	control	control	
128	2	52_2	Fangamon	2012	5	clearcut	
129	2	53_2	Halasen_p_5	2018	control	control	
130	2	54_2	Fangamon	2018	7	clearcut	
131	2	55_2	Fangamon	2012	4	forest_control	
132	2	56_2	Halasen	2012	7	forest	middle_lower
133	2	57_2	Halasen_p_5	2018	6	p_5	
134	2	58_2	Fangamon	2012	7	clearcut	
135	2	60_2	Fangamon	2012	9	shelter_burn	
136	2	61_2	Fangamon	2018	4	forest_control	
137	2	63_2	Fangamon	2018	new_control	forest_control	
138	2	65_2	Halasen_p_5	2018	control	control	
139	2	66_2	Halasen	2018	13	clearcut	edge_south
140	2	67_2	Fangamon	2012	5	clearcut	seedling_roots
141	2	68_2	Halasen_p_5	2018	control	control	
142	2	69_2	Halasen	2012	13	clearcut	edge_north
143	2	70_2	Halasen	2018	6	clearcut	middle_lower
144	2	71_2	Halasen	2012	10	clearcut	middle_lower
145	2	72_2	KONTROLL_				
146	2	73_2	Halasen	2018	10	clearcut	edge_south
147	2	74_2	Halasen	2018	6	clearcut	edge_south
148	2	98_2	Halasen	2018	4	forest	middle_upper
149	2	76_2	Halasen_p_5	2018	control	control	
150	2	77_2	Halasen	2018	5	forest	middle_upper
151	2	78_2	Fangamon	2012	11	shelter_burn	
152	2	79_2	Fangamon	2012	7	clearcut	seedling_roots
153	2	80_2	Halasen	2018	9	forest	middle
154	2	81_2	Halasen_p_5	2018	control	control	
155	2	99_2	Fangamon	2012	8	shelter_without_burn	
156	2	83_2	Halasen	2018	10	clearcut	middle_lower
157	2	84_2	Fangamon	2012	11	shelter_burn	
158	2	85_2	Fangamon	2012	10	shelter_without_burn	
159	2	86_2	Fangamon	2012	9	shelter_burn	
160	2	87_2	Fangamon	2012	1	clearcut	
161	2	88_2	Halasen	2012	6	clearcut	edge_south
162	2	89_2	Halasen	2018	6	clearcut	middle_upper
163	2	90_2	Fangamon	2018	3	shelter_without_burn	
164	2	91_2	Halasen	2012	3	clearcut	middle_lower
165	2	92_2	Fangamon	2012	4	forest_control	
166	2	93_2	Halasen	2018	8	forest	middle_upper
?	2	95_2					
?	2	96_2					
ITS-standard1	1	40_1					
ITS-standard2	2	40_2					
PCR_neg_1	1	50_1					
PCR_neg_10	1	95_1					
PCR_neg_2	1	94_1					
PCR_neg_3	2	50_2					
PCR_neg_4	2	94_2					
PCR_neg_5	2	100_2					
PCR_neg_6	1	100_1					
PCR_neg_7	1	96_1					
