sample_id	tag_pool_sampletable	pool	site	year	plot	treatment	specification
s1	1_1	1	control				
s2	4_1	1	Halasen	2012	13	clearcut	middle_lower
s3	5_1	1	Fangamon	2018	2	shelter_burn	
s4	6_1	1	Halasen_p_5	2018	control	control	
s5	7_1	1	Halasen	2018	12	forest	middle_upper
s6	8_1	1	Halasen	2012	6	clearcut	middle_upper
s7	9_1	1	Halasen	2018	13	clearcut	middle_lower
s8	10_1	1	Fangamon	2012	3	shelter_without_burn	
s9	11_1	1	Fangamon	2018	2	shelter_burn	
s10	12_1	1	Halasen_p_5	2018	clearcut	clearcut	
s11	13_1	1	Halasen	2018	3	clearcut	middle_upper
s12	14_1	1	Halasen_p_5	2018	clearcut	clearcut	
s13	15_1	1	Fangamon	2012	3	shelter_without_burn	
s14	16_1	1	Halasen	2012	13	clearcut	edge_south
s15	17_1	1	Halasen	2012	5	forest	middle_upper
s16	18_1	1	Fangamon	2018	5	clearcut	
s17	20_1	1	Fangamon	2012	5	clearcut	
s18	21_1	1	Halasen	2012	12	forest	middle_lower
s19	22_1	1	Fangamon	2018	new_control	forest_control	
s20	23_1	1	Halasen	2018	13	clearcut	edge_north
s21	24_1	1	Halasen	2018	7	forest	middle_lower
s22	25_1	1	Halasen	2012	11	forest	middle_upper
s23	26_1	1	Fangamon	2012	6	forest_control	
s24	28_1	1	Fangamon	2012	6	forest_control	
s25	29_1	1	control				
s26	30_1	1	Halasen_p_5	2018	control	control	
s27	31_1	1	Halasen_p_5	2018	24	p_5	
s28	32_1	1	Fangamon	2018	6	forest_control	
s29	33_1	1	Fangamon	2018	4	forest_control	
s30	34_1	1	Fangamon	2012	1	clearcut	seedling_roots
s31	35_1	1	Halasen	2018	3	clearcut	edge_south
s32	36_1	1	Halasen	2018	11	forest	middle_lower
s33	37_1	1	Halasen	2018	5	forest	middle_lower
s34	38_1	1	Halasen	2012	8	forest	middle_upper
s35	39_1	1	Fangamon	2018	5	clearcut	
s36	41_1	1	Halasen	2012	10	clearcut	middle_upper
s37	42_1	1	Fangamon	2012	12	forest_control	
s38	44_1	1	Halasen	2012	6	clearcut	kant_norra
s39	45_1	1	Fangamon	2018	6	forest_control	
s40	97_1	1	Halasen	2018	6	clearcut	edge_north
s41	47_1	1	Fangamon	2018	1	clearcut	
s42	48_1	1	Fangamon	2012	1	clearcut	
s43	49_1	1	Fangamon	2012	5	clearcut	
s44	51_1	1	Halasen_p_5	2018	8	p_5	
s45	52_1	1	Fangamon	2012	5	clearcut	seedling_roots
s46	53_1	1	Halasen	2012	10	clearcut	edge_north
s47	54_1	1	Fangamon	2018	2	shelter_burn	
s48	55_1	1	Halasen_p_5	2018	control	control	
s49	56_1	1	control				
s50	57_1	1	Fangamon	2012	3	shelter_without_burn	
s51	58_1	1	Halasen	2012	7	forest	middle_upper
s52	60_1	1	Fangamon	2018	3	shelter_without_burn	
s53	61_1	1	Halasen_p_5	2018	clearcut	clearcut	
